epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,9902.81,1.56502,1.52774,1.61167,0.78546,0.64629,0.73046,0.40223,1.55459,1.21184,1.58223,0.001906,0.001906,0.001906
74,10037.3,1.55981,1.52086,1.59948,0.79303,0.66575,0.73703,0.40331,1.54952,1.20786,1.56992,0.00189775,0.00189775,0.00189775
75,10171.9,1.54783,1.50515,1.59669,0.79971,0.64138,0.72416,0.40862,1.55429,1.20596,1.57448,0.0018895,0.0018895,0.0018895
76,10306.6,1.54088,1.48691,1.58663,0.78863,0.65632,0.72678,0.40703,1.54471,1.22237,1.57047,0.00188125,0.00188125,0.00188125
77,10440.9,1.54609,1.49025,1.58825,0.79031,0.65834,0.73355,0.40845,1.54778,1.19698,1.57824,0.001873,0.001873,0.001873
78,10575.3,1.54322,1.47721,1.59573,0.79134,0.66248,0.7349,0.40774,1.55937,1.18149,1.5862,0.00186475,0.00186475,0.00186475
79,10709.9,1.52649,1.47438,1.59035,0.79665,0.66284,0.74191,0.41557,1.55031,1.17464,1.5753,0.0018565,0.0018565,0.0018565
80,10844.5,1.53568,1.46571,1.58517,0.79541,0.66945,0.74639,0.41663,1.55046,1.16337,1.57647,0.00184825,0.00184825,0.00184825
81,10979.2,1.5211,1.44647,1.5745,0.7835,0.68151,0.74261,0.41664,1.54753,1.17241,1.57427,0.00184,0.00184,0.00184
82,11113.7,1.5237,1.44641,1.57443,0.79311,0.67312,0.74536,0.41432,1.53267,1.16978,1.56253,0.00183175,0.00183175,0.00183175
83,11248.3,1.51273,1.4396,1.56892,0.80356,0.68115,0.74305,0.4143,1.54483,1.1772,1.56847,0.0018235,0.0018235,0.0018235
84,11383.2,1.49341,1.40604,1.55272,0.78943,0.68294,0.75253,0.41511,1.54697,1.17086,1.56855,0.00181525,0.00181525,0.00181525
85,11518.8,1.50817,1.41969,1.56678,0.80215,0.68536,0.75167,0.41677,1.55048,1.15052,1.57213,0.001807,0.001807,0.001807
86,11654.5,1.51915,1.43352,1.56889,0.8015,0.68855,0.75053,0.41873,1.54036,1.14586,1.56631,0.00179875,0.00179875,0.00179875
87,11790.4,1.47862,1.39795,1.54615,0.79753,0.68327,0.74746,0.41747,1.54223,1.14253,1.56805,0.0017905,0.0017905,0.0017905
88,11925.8,1.47616,1.41485,1.55276,0.78087,0.69497,0.7559,0.42013,1.54409,1.14194,1.5676,0.00178225,0.00178225,0.00178225
89,12061.2,1.48644,1.39842,1.55272,0.79935,0.69699,0.75641,0.41912,1.53813,1.13627,1.57128,0.001774,0.001774,0.001774
90,12196.4,1.47566,1.37651,1.53339,0.80513,0.68902,0.75758,0.42289,1.54756,1.13356,1.57564,0.00176575,0.00176575,0.00176575
91,12331.8,1.49184,1.39822,1.55416,0.80407,0.69063,0.75803,0.42442,1.54576,1.12871,1.57075,0.0017575,0.0017575,0.0017575
92,12467.3,1.46861,1.34927,1.52673,0.80313,0.69676,0.7601,0.42653,1.54799,1.11999,1.57279,0.00174925,0.00174925,0.00174925
93,12603,1.48574,1.38538,1.53888,0.79855,0.6906,0.75884,0.42761,1.54186,1.12603,1.56898,0.001741,0.001741,0.001741
94,12738.3,1.46732,1.35075,1.52278,0.81969,0.6757,0.76114,0.43132,1.54289,1.12157,1.56701,0.00173275,0.00173275,0.00173275
95,12873.4,1.45465,1.34691,1.52254,0.78266,0.69664,0.76223,0.43365,1.54072,1.11783,1.56752,0.0017245,0.0017245,0.0017245
96,13008.5,1.46199,1.34591,1.52352,0.77105,0.71387,0.76722,0.43461,1.54096,1.11845,1.56691,0.00171625,0.00171625,0.00171625
97,13143.6,1.4492,1.32225,1.51079,0.81264,0.67042,0.76391,0.43416,1.54105,1.1128,1.56253,0.001708,0.001708,0.001708
98,13278.8,1.45022,1.3397,1.52435,0.78293,0.69299,0.76701,0.43479,1.53325,1.10934,1.55377,0.00169975,0.00169975,0.00169975
99,13414,1.46121,1.32777,1.52294,0.80126,0.68183,0.76583,0.43391,1.53531,1.10447,1.55467,0.0016915,0.0016915,0.0016915
100,13549.4,1.44669,1.31494,1.51413,0.78139,0.69404,0.76106,0.43215,1.53518,1.09939,1.55354,0.00168325,0.00168325,0.00168325
101,13684.5,1.43651,1.28699,1.49982,0.78782,0.69883,0.76645,0.4352,1.53205,1.09225,1.55084,0.001675,0.001675,0.001675
102,13819.9,1.44578,1.33163,1.51007,0.79911,0.69685,0.76918,0.43646,1.5272,1.08284,1.54666,0.00166675,0.00166675,0.00166675
103,13955.5,1.44065,1.30158,1.51021,0.77685,0.70417,0.7758,0.44069,1.52523,1.07996,1.54388,0.0016585,0.0016585,0.0016585
104,14090.9,1.43358,1.28458,1.49661,0.76362,0.7215,0.77819,0.44302,1.52137,1.07731,1.54065,0.00165025,0.00165025,0.00165025
105,14226.3,1.43721,1.28549,1.50009,0.766,0.72866,0.77845,0.44218,1.51993,1.06821,1.54148,0.001642,0.001642,0.001642
106,14361.6,1.42929,1.28711,1.49183,0.76591,0.72681,0.77894,0.44371,1.51668,1.06912,1.54016,0.00163375,0.00163375,0.00163375
107,14497.1,1.42404,1.29432,1.49831,0.76518,0.73168,0.78179,0.44226,1.51767,1.0693,1.53972,0.0016255,0.0016255,0.0016255
108,14632.6,1.42189,1.27172,1.49183,0.78923,0.7166,0.78068,0.44352,1.5171,1.07035,1.53865,0.00161725,0.00161725,0.00161725
109,14767.9,1.4237,1.2778,1.48228,0.79119,0.71159,0.7786,0.44317,1.51633,1.06112,1.53924,0.001609,0.001609,0.001609
110,14905.8,1.42758,1.27663,1.49276,0.805,0.71284,0.77881,0.44277,1.51705,1.05579,1.53937,0.00160075,0.00160075,0.00160075
111,15041.3,1.40885,1.25956,1.4865,0.80492,0.71656,0.78017,0.44338,1.51707,1.05677,1.5384,0.0015925,0.0015925,0.0015925
112,15176.7,1.41085,1.26402,1.48556,0.79732,0.71779,0.77788,0.4445,1.51766,1.05227,1.53952,0.00158425,0.00158425,0.00158425
113,15312.3,1.3882,1.21694,1.45976,0.78925,0.72643,0.78082,0.4464,1.5207,1.05045,1.54159,0.001576,0.001576,0.001576
114,15447.7,1.40452,1.25163,1.47918,0.79759,0.7276,0.78227,0.44766,1.5195,1.04835,1.5402,0.00156775,0.00156775,0.00156775
115,15583.1,1.40435,1.23943,1.47254,0.80341,0.72417,0.7833,0.44794,1.51879,1.04676,1.53786,0.0015595,0.0015595,0.0015595
116,15718.3,1.38744,1.22267,1.47011,0.80291,0.72268,0.78486,0.44836,1.51965,1.04325,1.53863,0.00155125,0.00155125,0.00155125
117,15853.8,1.37952,1.22098,1.4508,0.7951,0.73038,0.79009,0.4479,1.52306,1.03856,1.54211,0.001543,0.001543,0.001543
118,15989.4,1.40015,1.24206,1.47036,0.81239,0.72016,0.79019,0.44877,1.52271,1.03444,1.53987,0.00153475,0.00153475,0.00153475
119,16125.1,1.38794,1.23046,1.4615,0.81018,0.72118,0.78971,0.44942,1.52191,1.03417,1.53762,0.0015265,0.0015265,0.0015265
120,16260.5,1.38303,1.2262,1.4575,0.818,0.72137,0.79025,0.44953,1.52108,1.03348,1.53698,0.00151825,0.00151825,0.00151825
121,16396.2,1.37742,1.23204,1.4584,0.82458,0.72006,0.79098,0.45023,1.51866,1.03252,1.53538,0.00151,0.00151,0.00151
122,16531.6,1.38939,1.22089,1.45721,0.82392,0.72184,0.79005,0.44846,1.51846,1.03065,1.53566,0.00150175,0.00150175,0.00150175
123,16667.1,1.37694,1.19569,1.45081,0.82288,0.7267,0.79339,0.45005,1.51997,1.03056,1.53555,0.0014935,0.0014935,0.0014935
124,16802.4,1.37661,1.20202,1.45001,0.81898,0.73007,0.79435,0.45073,1.51895,1.03082,1.53378,0.00148525,0.00148525,0.00148525
125,16938,1.37497,1.19574,1.44168,0.82193,0.73132,0.79496,0.45217,1.51695,1.03263,1.53116,0.001477,0.001477,0.001477
126,17073.5,1.37224,1.19546,1.44919,0.81486,0.73409,0.7969,0.45332,1.51718,1.03106,1.53117,0.00146875,0.00146875,0.00146875
127,17208.8,1.37595,1.18709,1.45661,0.8186,0.73587,0.79872,0.45448,1.51846,1.02779,1.53386,0.0014605,0.0014605,0.0014605
128,17343.9,1.34219,1.15889,1.43441,0.82079,0.73355,0.79922,0.45394,1.51913,1.02778,1.53462,0.00145225,0.00145225,0.00145225
129,17479.2,1.35353,1.18263,1.43745,0.81547,0.74492,0.80105,0.45424,1.51857,1.0273,1.53394,0.001444,0.001444,0.001444
130,17614.3,1.34858,1.16388,1.43261,0.81996,0.74371,0.80121,0.45381,1.51783,1.02667,1.53375,0.00143575,0.00143575,0.00143575
131,17749.5,1.34897,1.16444,1.43313,0.82061,0.74492,0.80147,0.45361,1.51762,1.02598,1.53413,0.0014275,0.0014275,0.0014275
132,17884.7,1.35432,1.15191,1.43494,0.82029,0.7474,0.80164,0.45531,1.51645,1.02454,1.53315,0.00141925,0.00141925,0.00141925
133,18020,1.35056,1.15359,1.42673,0.8201,0.74856,0.80175,0.45756,1.51651,1.02348,1.53341,0.001411,0.001411,0.001411
134,18155.2,1.3406,1.15304,1.42253,0.82266,0.75229,0.80219,0.4585,1.51676,1.0226,1.53424,0.00140275,0.00140275,0.00140275
135,18290.3,1.32602,1.13175,1.42233,0.81791,0.7524,0.80236,0.45812,1.51718,1.02057,1.5347,0.0013945,0.0013945,0.0013945
136,18425.5,1.33765,1.14113,1.42437,0.8165,0.75395,0.80334,0.45987,1.51752,1.01665,1.53611,0.00138625,0.00138625,0.00138625
137,18560.7,1.34742,1.15286,1.44442,0.81245,0.75488,0.80436,0.46053,1.51651,1.01347,1.53457,0.001378,0.001378,0.001378
138,18696,1.34366,1.14163,1.42281,0.80756,0.75635,0.8069,0.46149,1.51859,1.01209,1.53751,0.00136975,0.00136975,0.00136975
139,18831.2,1.33226,1.12004,1.42626,0.82017,0.75008,0.8062,0.46079,1.51926,1.00931,1.53875,0.0013615,0.0013615,0.0013615
140,18966.4,1.33347,1.12899,1.42229,0.81778,0.75007,0.80809,0.46227,1.51818,1.01048,1.53713,0.00135325,0.00135325,0.00135325
141,19101.9,1.33187,1.12506,1.41302,0.82573,0.74746,0.80729,0.46223,1.51815,1.01086,1.53777,0.001345,0.001345,0.001345
142,19237.3,1.32807,1.11542,1.42006,0.83154,0.73518,0.80839,0.46111,1.51759,1.00994,1.53778,0.00133675,0.00133675,0.00133675
143,19372.3,1.31555,1.10458,1.40373,0.836,0.73494,0.80656,0.46146,1.51772,1.0082,1.53821,0.0013285,0.0013285,0.0013285
144,19507.6,1.31253,1.09979,1.40777,0.83606,0.73645,0.80733,0.46295,1.51686,1.00758,1.53809,0.00132025,0.00132025,0.00132025
145,19643,1.31555,1.09461,1.41614,0.82953,0.74196,0.80904,0.46238,1.51751,1.00683,1.53966,0.001312,0.001312,0.001312
146,19778.2,1.32758,1.11256,1.41088,0.83093,0.7461,0.80881,0.46402,1.51766,1.00567,1.53981,0.00130375,0.00130375,0.00130375
147,19913.6,1.32137,1.12231,1.41041,0.82452,0.74578,0.80907,0.46392,1.51801,1.00401,1.54043,0.0012955,0.0012955,0.0012955
148,20048.9,1.29983,1.09235,1.39575,0.81799,0.74867,0.80783,0.46404,1.5164,1.00409,1.53855,0.00128725,0.00128725,0.00128725
149,20184,1.30086,1.09424,1.39088,0.82384,0.74371,0.80803,0.46424,1.51519,1.00383,1.53731,0.001279,0.001279,0.001279
150,20319.2,1.29677,1.08225,1.40139,0.84195,0.73334,0.80861,0.46575,1.51399,1.0041,1.53716,0.00127075,0.00127075,0.00127075
151,20454.5,1.29556,1.07962,1.39665,0.8285,0.74248,0.80853,0.46588,1.51297,1.00199,1.53692,0.0012625,0.0012625,0.0012625
152,20589.8,1.28528,1.07496,1.38057,0.83167,0.74123,0.80846,0.46606,1.51275,0.99891,1.53647,0.00125425,0.00125425,0.00125425
153,20725,1.29208,1.0716,1.38365,0.83209,0.74158,0.80811,0.46555,1.51284,0.9995,1.53652,0.001246,0.001246,0.001246
154,20860.2,1.27914,1.06631,1.38485,0.83496,0.73998,0.80767,0.46598,1.5123,0.9987,1.53644,0.00123775,0.00123775,0.00123775
155,20995.3,1.28646,1.06414,1.3892,0.83793,0.73906,0.80762,0.46543,1.51274,0.9993,1.53601,0.0012295,0.0012295,0.0012295
156,21130.3,1.28358,1.07278,1.38508,0.83774,0.74085,0.80959,0.46574,1.51338,0.99835,1.53676,0.00122125,0.00122125,0.00122125
157,21265.6,1.28615,1.0679,1.3759,0.83758,0.74103,0.80961,0.46634,1.51264,0.99718,1.53616,0.001213,0.001213,0.001213
158,21400.8,1.28151,1.06735,1.38575,0.83448,0.74264,0.8085,0.46663,1.5134,0.99648,1.53712,0.00120475,0.00120475,0.00120475
159,21536.2,1.28534,1.06831,1.38685,0.83596,0.74379,0.81014,0.46724,1.51262,0.99628,1.53727,0.0011965,0.0011965,0.0011965
160,21671.3,1.26392,1.04415,1.36186,0.8337,0.74277,0.80896,0.46776,1.5131,0.99581,1.5372,0.00118825,0.00118825,0.00118825
161,21806.7,1.27638,1.0423,1.37104,0.83422,0.74367,0.80993,0.46759,1.51377,0.99588,1.53786,0.00118,0.00118,0.00118
162,21942,1.27991,1.03922,1.37225,0.84227,0.7429,0.8106,0.46834,1.51418,0.99522,1.53863,0.00117175,0.00117175,0.00117175
163,22077.2,1.27108,1.04715,1.3656,0.84106,0.74336,0.81074,0.46823,1.51502,0.99288,1.53961,0.0011635,0.0011635,0.0011635
164,22212.3,1.26183,1.01849,1.36639,0.84133,0.74244,0.81082,0.46833,1.51531,0.99273,1.53996,0.00115525,0.00115525,0.00115525
165,22347.3,1.27127,1.04334,1.36804,0.84035,0.74369,0.81157,0.4689,1.5155,0.99168,1.54062,0.001147,0.001147,0.001147
166,22482.5,1.25579,1.04059,1.36116,0.83635,0.74388,0.81337,0.46939,1.51475,0.99146,1.54057,0.00113875,0.00113875,0.00113875
167,22617.6,1.26878,1.04118,1.3722,0.84224,0.74246,0.81415,0.46997,1.51346,0.99035,1.53929,0.0011305,0.0011305,0.0011305
168,22752.7,1.25583,1.0389,1.35892,0.84354,0.7431,0.81322,0.46908,1.51339,0.99016,1.53983,0.00112225,0.00112225,0.00112225
169,22890.9,1.25663,1.01644,1.35199,0.83866,0.74015,0.81419,0.46986,1.51309,0.9894,1.53951,0.001114,0.001114,0.001114
170,23026.2,1.24172,1.01924,1.34675,0.83947,0.73996,0.8137,0.46945,1.51384,0.98863,1.53952,0.00110575,0.00110575,0.00110575
171,23161.5,1.25332,1.01933,1.35211,0.84122,0.73996,0.81476,0.47014,1.51379,0.9877,1.54002,0.0010975,0.0010975,0.0010975
172,23297,1.26354,1.02847,1.36,0.84063,0.74019,0.81468,0.47015,1.51471,0.98785,1.53977,0.00108925,0.00108925,0.00108925
173,23432.5,1.24595,1.0225,1.35033,0.84097,0.742,0.81483,0.47038,1.51446,0.98674,1.54028,0.001081,0.001081,0.001081
174,23567.8,1.24745,1.02664,1.35591,0.84042,0.74242,0.81545,0.47006,1.51474,0.98694,1.54028,0.00107275,0.00107275,0.00107275
175,23703.1,1.23467,1.00371,1.34707,0.84299,0.7431,0.81547,0.47016,1.51473,0.98461,1.54036,0.0010645,0.0010645,0.0010645
176,23838.2,1.2504,0.99996,1.35305,0.84327,0.74351,0.81537,0.47015,1.51402,0.98385,1.54047,0.00105625,0.00105625,0.00105625
177,23973.3,1.23346,0.99544,1.34311,0.84159,0.74558,0.81725,0.47184,1.51336,0.98248,1.53986,0.001048,0.001048,0.001048
178,24108.6,1.2388,1.01137,1.3485,0.841,0.7477,0.81759,0.47243,1.51446,0.98171,1.54122,0.00103975,0.00103975,0.00103975
